f (Hz)	Rs (Ohm)	Xs (Ohm)	Rs_CSE (Ohm)	Xs_CSE (Ohm)	Rs_ASE_diffuse (Ohm)	Xs_ASE_diffuse (Ohm)	Rs_relaxation (Ohm)	Xs_relaxation (Ohm)	Rs_local (Ohm)	Xs_local (Ohm)	Rs_anomalous_reflection (Ohm)	Xs_anomalous_reflection (Ohm)
10235.31021899027	1.05956416089939e-06	-1.4512632486685536e-06	8.989703569700316e-07	-8.989703569700316e-07	6.854286651757648e-07	-1.1871972730485407e-06	0.00030616582327592964	-2.6395751624519305e-09	8.989684193784648e-07	-8.989722945657745e-07	0.2518010891551806	-2.6395751624519305e-09
12915.496650148827	1.210146880048704e-06	-1.6754491965702152e-06	1.009835006919272e-06	-1.009835006919272e-06	8.003912465731853e-07	-1.3863183049981456e-06	0.00030616582327592964	-3.330766087110072e-09	1.0098322604340629e-06	-1.0098377534119508e-06	0.2518010891551806	-3.330766087110072e-09
16297.508346206434	1.38339195871548e-06	-1.935439243078119e-06	1.1343719326149511e-06	-1.134371932614951e-06	9.346357690288632e-07	-1.6188366385292008e-06	0.00030616582327592964	-4.202950112902722e-09	1.1343680395445146e-06	-1.1343758256987481e-06	0.2518010891551806	-4.202950112902722e-09
20565.123083486516	1.5828595767240027e-06	-2.2370644331920188e-06	1.2742672542421064e-06	-1.2742672542421064e-06	1.0913962696221226e-06	-1.890353790176657e-06	0.00030616582327592964	-5.303521529149411e-09	1.274261735917828e-06	-1.2742727725902826e-06	0.2518010891551806	-5.303521529149411e-09
25950.242113997374	1.8126835240719152e-06	-2.5871166018456385e-06	1.4314150311270805e-06	-1.4314150311270807e-06	1.2744492098593115e-06	-2.2074107831423376e-06	0.00030616582327592964	-6.692285146046013e-09	1.4314072090494286e-06	-1.4314228532474776e-06	0.2518010891551806	-6.692285146046013e-09
32745.491628777316	2.0776650677942205e-06	-2.9935079241032323e-06	1.6079429056310412e-06	-1.6079429056310412e-06	1.48820445306578e-06	-2.5776457247601824e-06	0.00030616582327592964	-8.444706074978653e-09	1.6079318180460014e-06	-1.607953993292536e-06	0.2518010891551806	-8.444706074978653e-09
41320.124001153345	2.3833823454421365e-06	-3.4654570760587903e-06	1.8062409095518676e-06	-1.8062409095518676e-06	1.7378115008359606e-06	-3.0099778134254073e-06	0.00030616582327592964	-1.0656010486181234e-08	1.8062251932007339e-06	-1.8062566260397525e-06	0.2518010891551806	-1.0656010486181234e-08
52140.082879996844	2.736317866563313e-06	-4.013706455939434e-06	2.0289938230477046e-06	-2.0289938230477046e-06	2.0292835478461316e-06	-3.5148222078331276e-06	0.00030616582327592964	-1.3446360178011485e-08	2.0289715455514167e-06	-2.0290161007885927e-06	0.2518010891551806	-1.3446360178011485e-08
65793.32246575682	3.1440071349094717e-06	-4.650775661516666e-06	2.2792175241934545e-06	-2.2792175241934545e-06	2.3696423435902317e-06	-4.104340934864867e-06	0.00030616582327592964	-1.696738214280864e-08	2.2791859464634483e-06	-2.2792491023609645e-06	0.2518010891551806	-1.696738214280864e-08
83021.75681319735	3.615211908234672e-06	-5.391257290520434e-06	2.560299821311184e-06	-2.5602998213111838e-06	2.7670873508513577e-06	-4.792735880655718e-06	0.00030616582327592964	-2.1410407944514533e-08	2.5602550607759744e-06	-2.5603445826289355e-06	0.2518010891551806	-2.1410407944514533e-08
104761.57527896661	4.1601221999484295e-06	-6.252162146318778e-06	2.8760463209082056e-06	-2.8760463209082056e-06	3.231193276045564e-06	-5.596590923185843e-06	0.00030616582327592964	-2.7016870634037137e-08	2.8759828741512627e-06	-2.876109769064841e-06	0.2518010891551806	-2.7016870634037137e-08
132194.11484660287	4.79059181110121e-06	-7.253322117664388e-06	3.2307319522342212e-06	-3.230731952234221e-06	3.773140730071185e-06	-6.535271448590818e-06	0.00030616582327592964	-3.409142416846395e-08	3.230642018355311e-06	-3.2308218886166894e-06	0.2518010891551806	-3.409142416846395e-08
166810.0537200059	5.520412979638321e-06	-8.417860388466467e-06	3.629158846054722e-06	-3.6291588460547216e-06	4.405985576432408e-06	-7.631390875796576e-06	0.00030616582327592964	-4.3018498240499536e-08	3.6290313675696545e-06	-3.6292863290177788e-06	0.2518010891551806	-4.3018498240499536e-08
210490.41445120217	6.365636666917752e-06	-9.772740254408461e-06	4.076721351268075e-06	-4.076721351268075e-06	5.144973455406783e-06	-8.911355428357754e-06	0.00030616582327592964	-5.4283188103937855e-08	4.076540654640289e-06	-4.076902055905415e-06	0.2518010891551806	-5.4283188103937855e-08
265608.7782946684	7.344946091728054e-06	-1.134940571558031e-05	4.579479069634085e-06	-4.579479069634085e-06	6.007907061346793e-06	-1.040600027740447e-05	0.00030616582327592964	-6.84976145437214e-08	4.579222938319493e-06	-4.57973521527496e-06	0.2518010891551806	-6.84976145437214e-08
